Spotify_ID,Artist,Title,Year,Degree_Centrality,Betweenness_Centrality,Closeness_Centrality,Clustering Coefficient,Community
4kte3OcW800TPvOVgrLLj8,Ne-Yo,Let Me Love You (Until You Learn To Love Yourself),2013,0.0014002333722287048,0.0,0.0014002333722287048,1.0,60
2EcsgXlxz99UMDSPg5T8RF,Labrinth,Beneath Your Beautiful (feat. Emeli Sandé),2013,0.0014002333722287048,0.0,0.0014002333722287048,1.0,1009
6t6oULCRS6hnI7rm0h5gwl,fun.,Some Nights,2013,0.0007001166861143524,0.0,0.0007001166861143524,1.0,572
2A73XBDBQgmdXO8VsXPWIs,Adele,Rumour Has It,2013,0.006067677946324387,0.0,0.006067677946324387,1.0,820
0MOiv7WTXCqvm89lVCf9C8,Otto Knows,Million Voices - Radio Edit,2013,0.0,0.0,0.0,0.0,821
0c4IEciLCDdXEhhKxj4ThA,Muse,Madness,2013,0.00023337222870478414,0.0,0.00023337222870478414,0.0,822
4b4c0oH7PtrPsI86drzgFs,The Wanted,Chasing The Sun,2013,0.0014002333722287048,0.0,0.0014002333722287048,1.0,562
439TlnnznSiBbQbgXiBqAd,Kendrick Lamar,m.A.A.d city,2013,0.0023337222870478415,0.0,0.002333722287047841,1.0,1071
0pwYLVXVknPSGUQb39cePC,Justin Bieber,As Long As You Love Me,2013,0.005600933488914819,0.0,0.005600933488914819,1.0,1238
78JKJfKsqgeBDBF58gv1SF,ScHoolboy Q,Hands on the Wheel (feat. Asap Rocky),2013,0.0004667444574095683,0.0,0.0004667444574095683,1.0,1072
3LGsgpx4TfxhXbr07OFKqs,Grimes,Oblivion,2013,0.0,0.0,0.0,0.0,826
4k80K0b6KZ2QjAYkXON7q6,P!nk,Blow Me (One Last Kiss),2013,0.0030338389731621937,0.0,0.0030338389731621937,1.0,578
2xnoPV3NLescauc0ZJ1MDZ,Jennifer Lopez,Dance Again (feat. Pitbull),2013,0.001633605600933489,0.0,0.001633605600933489,1.0,635
5wEreUfwxZxWnEol61ulIi,Lana Del Rey,Born To Die,2013,0.0021003500583430573,0.0,0.0021003500583430573,1.0,805
12eMQUn2GzfsfsQLH53M19,USHER,Scream,2013,0.0025670945157526257,0.0,0.0025670945157526253,1.0,753
68rcszAg5pbVaXVvR7LFNh,Asaf Avidan,One Day / Reckoning Song (Wankelmut Remix) - Radio Edit,2013,0.0,0.0,0.0,0.0,829
2NniAhAtkRACaMeYt48xlD,Train,50 Ways to Say Goodbye,2013,0.0009334889148191366,0.0,0.0009334889148191366,1.0,133
5aTsxlQlq0vIedDWZoqMWN,Ellie Goulding,Lights - Single Version,2013,0.0037339556592765463,0.0,0.0037339556592765463,1.0,341
1hWYT0w2R0J19rlVkiez7X,Lupe Fiasco,Battle Scars (with Guy Sebastian),2013,0.0004667444574095683,0.0,0.0004667444574095683,1.0,582
6D60klaHqbCl9ySc8VcRss,Kelly Clarkson,Stronger (What Doesn't Kill You),2013,0.0007001166861143524,0.0,0.0007001166861143524,1.0,968
4wkQmYpAaMe41Rc3sYZ7Vz,Calvin Harris,Let's Go (feat. Ne-Yo),2013,0.005834305717619603,0.0,0.005834305717619603,1.0,842
4Sfa7hdVkqlM8UW5LsSY3F,Passion Pit,Take a Walk,2013,0.0,0.0,0.0,0.0,835
6BtmXhTJMM9sBTHeYYASGz,Imagine Dragons,It's Time,2013,0.005834305717619603,0.0,0.005834305717619603,1.0,919
06h3McKzmxS8Bx58USHiMq,Avicii,Silhouettes - Original Radio Edit,2013,0.005600933488914819,0.0,0.005600933488914819,1.0,561
6MAdEUilV2p9RQUqE5bMAK,Jessie J,Domino,2013,0.0018669778296382731,0.0,0.0018669778296382731,1.0,1446
3180WDzph4WrS4sLSNcGfa,Little Mix,Wings,2013,0.001633605600933489,0.0,0.001633605600933489,1.0,189
6j7hih15xG2cdYwIJnQXsq,Gavin DeGraw,Not Over You,2013,0.0,0.0,0.0,0.0,840
29vem0DsWK4224LQyxcmA5,Michel Teló,Ai Se Eu Te Pego - Ao Vivo,2013,0.00023337222870478414,0.0,0.00023337222870478414,0.0,841
7B1Dl3tXqySkB8OPEwVvSu,Calvin Harris,We'll Be Coming Back (feat. Example),2013,0.005834305717619603,0.0,0.005834305717619603,1.0,842
3zsRP8rH1kaIAo9fmiP4El,The xx,Angels,2013,0.00023337222870478414,0.0,0.00023337222870478414,0.0,843
0obBFrPYkSoBJbvHfUIhkv,LMFAO,Sexy And I Know It,2013,0.0009334889148191366,0.0,0.0009334889148191366,1.0,1103
5kcE7pp02ezLZaUbbMv3Iq,Nicki Minaj,Pound The Alarm,2013,0.003267211201866978,0.0,0.003267211201866978,1.0,642
1RMRkCn07y2xtBip9DzwmC,Chris Brown,Turn Up the Music,2013,0.004667444574095683,0.0,0.004667444574095682,1.0,1497
3CWq0pAKKTWb0K4yiglDc4,Taylor Swift,You’re Losing Me (From The Vault),2013,0.014002333722287048,0.0,0.014002333722287048,1.0,819
4OMJGnvZfDvsePyCwRGO7X,Dua Lipa,Houdini,2013,0.004200700116686115,0.0,0.004200700116686115,1.0,1428
3rUGC1vUpkDG9CZFHMur1t,Tate McRae,greedy,2013,0.0009334889148191366,0.0,0.0009334889148191366,1.0,1566
3vkCueOmm7xQDoJ17W1Pm3,Mitski,My Love Mine All Mine,2013,0.0,0.0,0.0,0.0,1575
7tbIzrs6q0xJYxfxFSFHK4,Seife,Waiting,2013,0.00023337222870478414,0.0,0.00023337222870478414,0.0,1029
2KslE17cAJNHTsI2MI0jb2,Jung Kook,Standing Next to You,2013,0.0021003500583430573,0.0,0.0021003500583430573,1.0,634
4xhsWYTOGcal8zt0J161CU,Jack Harlow,Lovin On Me,2013,0.0009334889148191366,0.0,0.0009334889148191366,1.0,1112
56y1jOTK0XSvJzVv9vHQBK,Doja Cat,Paint The Town Red,2013,0.004434072345390899,0.0,0.004434072345390899,1.0,1162
6WKVgLDguqRGpcYETE7FBB,Jonny Morgan,Turbulence,2013,0.0,0.0,0.0,0.0,1014
7iQXYTyuG13aoeHxGG28Nh,Bad Bunny,PERRO NEGRO,2013,0.003267211201866978,0.0,0.003267211201866978,1.0,825
5mjYQaktjmjcMKcUIcqz4s,Kenya Grace,Strangers,2013,0.00023337222870478414,0.0,0.00023337222870478414,0.0,1048
1Iq8oo9XkmmvCQiGOfORiz,Taylor Swift,Is It Over Now? (Taylor's Version) (From The Vault),2013,0.014002333722287048,0.0,0.014002333722287048,1.0,819
4fKLT5mrdb50q22BdAlJ9r,Tropea,Discoteca,2013,0.00023337222870478414,0.0,0.00023337222870478414,0.0,1016
0mflMxspEfB0VbI1kyLiAv,Noah Kahan,Stick Season,2013,0.003500583430571762,0.0,0.003500583430571762,1.0,346
1odExI7RdWc4BT515LTAwj,David Kushner,Daylight,2013,0.0,0.0,0.0,0.0,1129
5aIVCx5tnk0ntmdiinnYvw,Tyla,Water,2013,0.00023337222870478414,0.0,0.00023337222870478414,0.0,1565
0nM4CvgYI5MBZaWXujYFBc,NAVA,Issues - Remix,2013,0.0004667444574095683,0.0,0.0004667444574095683,1.0,1058
01qFKNWq73UfEslI0GvumE,Jung Kook,3D (feat. Jack Harlow),2013,0.0021003500583430573,0.0,0.0021003500583430573,1.0,634
6NIlYycjhvtKGKtiABymF3,Dove Cameron,White Glove,2013,0.0004667444574095683,0.0,0.0004667444574095683,1.0,999
0HD8mbiPjp3o94X3EaZp0o,Tate McRae,exes,2013,0.0009334889148191366,0.0,0.0009334889148191366,1.0,1566
