loc,Spotify_ID,Title,Year,Artist,polarity,subjectivity,sentiment
7882,4kad7RSRCt8ttCkIjEmErs,Royalty,2015,Conor Maynard,-0.12285714285714286,0.3771428571428571,"Sentiment(polarity=-0.12285714285714286, subjectivity=0.3771428571428571)"
8823,2bId06MUsxJqO7LoeLZoq5,Vegas (I Wanna Ride),2017,Joseline Hernandez,-0.12380952380952379,0.2796884185773072,"Sentiment(polarity=-0.12380952380952379, subjectivity=0.2796884185773072)"
11296,3JxlwVaDNhhulYk2NxIzYP,For Everybody,2020,Lazy J,-0.12414033882783879,0.5667158882783885,"Sentiment(polarity=-0.12414033882783879, subjectivity=0.5667158882783885)"
1946,7029PpV3DYkpqVVI9hOhGL,In My Box,2018,Bonalt & Hadi,-0.12498674794593163,0.583981211532232,"Sentiment(polarity=-0.12498674794593163, subjectivity=0.583981211532232)"
5673,4MjDJD8cW7iVeWInc2Bdyj,MONACO,2021,Bad Bunny,-0.12499999999999996,0.5166666666666666,"Sentiment(polarity=-0.12499999999999996, subjectivity=0.5166666666666666)"
3355,5yhKaacMZGRo4s6evJx9vk,Bad (feat. Rihanna) - Remix,2014,Wale,-0.1252053502053502,0.5955433455433454,"Sentiment(polarity=-0.1252053502053502, subjectivity=0.5955433455433454)"
7525,7vRriwrloYVaoAe3a9wJHe,"i hate u, i love u (feat. olivia o'brien)",2016,gnash,-0.12567460317460316,0.6854365079365079,"Sentiment(polarity=-0.12567460317460316, subjectivity=0.6854365079365079)"
11101,5iFwAOB2TFkPJk8sMlxP8g,Make You Mine,2019,PUBLIC,-0.1272727272727273,0.546969696969697,"Sentiment(polarity=-0.1272727272727273, subjectivity=0.546969696969697)"
1995,0KRfljhpXqfwhhaWK5YtqE,homies,2018,Leah,-0.1279745989304813,0.44387254901960765,"Sentiment(polarity=-0.1279745989304813, subjectivity=0.44387254901960765)"
7815,0yH0n7A7RS6CcjF3q4IrX6,Champions,2015,Kurt Hugo Schneider,-0.13203125000000002,0.25625,"Sentiment(polarity=-0.13203125000000002, subjectivity=0.25625)"
10252,5H9H0i7UCmRDCZRHldbmhN,Sucker for You,2018,Matt Terry,-0.13224999999999998,0.6927857142857144,"Sentiment(polarity=-0.13224999999999998, subjectivity=0.6927857142857144)"
6258,7K66IKkO2yLeeZlzldTXgy,God Complex,2021,Edith,-0.1323983187355281,0.4807145374005838,"Sentiment(polarity=-0.1323983187355281, subjectivity=0.4807145374005838)"
2584,1eyzqe2QqGZUmfcPZtrIyt,Midnight City,2012,M83,-0.13333333333333333,0.36666666666666664,"Sentiment(polarity=-0.13333333333333333, subjectivity=0.36666666666666664)"
11542,2HZLXBOnaSRhXStMLrq9fD,Mary On A Cross,2022,Ghost,-0.13348484848484848,0.36000000000000004,"Sentiment(polarity=-0.13348484848484848, subjectivity=0.36000000000000004)"
2189,319J2YqAVDmQXpUJGCxDkv,Like A Prayer,2010,Madism,-0.13499999999999998,0.32999999999999996,"Sentiment(polarity=-0.13499999999999998, subjectivity=0.32999999999999996)"
