Spotify_ID,Title,Year,Artist,polarity,subjectivity,sentiment
27GmP9AWRs744SzKcpJsTZ,Jumpman,2016,Drake,-0.012121212121212125,0.42833333333333334,"Sentiment(polarity=-0.012121212121212125, subjectivity=0.42833333333333334)"
27GmP9AWRs744SzKcpJsTZ,Jumpman,2016,Drake,-0.012121212121212125,0.42833333333333334,"Sentiment(polarity=-0.012121212121212125, subjectivity=0.42833333333333334)"
27GmP9AWRs744SzKcpJsTZ,Jumpman,2015,Drake,-0.012121212121212125,0.42833333333333334,"Sentiment(polarity=-0.012121212121212125, subjectivity=0.42833333333333334)"
27GmP9AWRs744SzKcpJsTZ,Jumpman,2014,Drake,-0.012121212121212125,0.42833333333333334,"Sentiment(polarity=-0.012121212121212125, subjectivity=0.42833333333333334)"
1huvTbEYtgltjQRXzrNKGi,Don't,2012,Ed Sheeran,-0.012271062271062269,0.42277167277167277,"Sentiment(polarity=-0.012271062271062269, subjectivity=0.42277167277167277)"
1huvTbEYtgltjQRXzrNKGi,Don't,2015,Ed Sheeran,-0.012271062271062269,0.42277167277167277,"Sentiment(polarity=-0.012271062271062269, subjectivity=0.42277167277167277)"
1huvTbEYtgltjQRXzrNKGi,Don't,2013,Ed Sheeran,-0.012271062271062269,0.42277167277167277,"Sentiment(polarity=-0.012271062271062269, subjectivity=0.42277167277167277)"
1huvTbEYtgltjQRXzrNKGi,Don't,2014,Ed Sheeran,-0.012271062271062269,0.42277167277167277,"Sentiment(polarity=-0.012271062271062269, subjectivity=0.42277167277167277)"
1huvTbEYtgltjQRXzrNKGi,Don't,2014,Ed Sheeran,-0.012271062271062269,0.42277167277167277,"Sentiment(polarity=-0.012271062271062269, subjectivity=0.42277167277167277)"
1huvTbEYtgltjQRXzrNKGi,Don't,2017,Ed Sheeran,-0.012271062271062269,0.42277167277167277,"Sentiment(polarity=-0.012271062271062269, subjectivity=0.42277167277167277)"
1huvTbEYtgltjQRXzrNKGi,Don't,2016,Ed Sheeran,-0.012271062271062269,0.42277167277167277,"Sentiment(polarity=-0.012271062271062269, subjectivity=0.42277167277167277)"
3QiAAp20rPC3dcAtKtMaqQ,Blue Christmas,2019,Elvis Presley,-0.0125,0.09375000000000001,"Sentiment(polarity=-0.0125, subjectivity=0.09375000000000001)"
0Lw6aQcBFWTQ9m4MSwwwes,Homicide,2018,Logic,-0.01257404181184668,0.5000958188153309,"Sentiment(polarity=-0.01257404181184668, subjectivity=0.5000958188153309)"
2mfUa8bLs2s5N4VaqJZ4lZ,Most Girls,2016,Hailee Steinfeld,-0.012722462722462753,0.38942325036075004,"Sentiment(polarity=-0.012722462722462753, subjectivity=0.38942325036075004)"
10GJQkjRJcZhGTLagFOC62,Most Girls,2019,Hailee Steinfeld,-0.012722462722462753,0.38942325036075004,"Sentiment(polarity=-0.012722462722462753, subjectivity=0.38942325036075004)"
7tbIzrs6q0xJYxfxFSFHK4,Waiting,2013,Seife,-0.01272727272727272,0.46424242424242423,"Sentiment(polarity=-0.01272727272727272, subjectivity=0.46424242424242423)"
7tbIzrs6q0xJYxfxFSFHK4,Waiting,2014,Seife,-0.01272727272727272,0.46424242424242423,"Sentiment(polarity=-0.01272727272727272, subjectivity=0.46424242424242423)"
7tbIzrs6q0xJYxfxFSFHK4,Waiting,2021,Seife,-0.01272727272727272,0.46424242424242423,"Sentiment(polarity=-0.01272727272727272, subjectivity=0.46424242424242423)"
52DudaVZObvmBgEX6IObHX,No Complaints,2015,Noah Kahan,-0.012931034482758598,0.6224137931034481,"Sentiment(polarity=-0.012931034482758598, subjectivity=0.6224137931034481)"
5pmL3RzOy3IvGFaSDi4hZL,Hangover,2010,Taio Cruz,-0.012962962962962957,0.44171810699588493,"Sentiment(polarity=-0.012962962962962957, subjectivity=0.44171810699588493)"
2tftivjRsvKs0jFH9h3Ti8,Hangover,2011,Taio Cruz,-0.012962962962962957,0.44171810699588493,"Sentiment(polarity=-0.012962962962962957, subjectivity=0.44171810699588493)"
4i2zhg5fHx4kSwaycOPJqH,Me And My Broken Heart,2012,Rixton,-0.013271604938271607,0.5302469135802467,"Sentiment(polarity=-0.013271604938271607, subjectivity=0.5302469135802467)"
1oew3nFNY3vMacJAsvry0S,Me And My Broken Heart,2011,Rixton,-0.013271604938271607,0.5302469135802467,"Sentiment(polarity=-0.013271604938271607, subjectivity=0.5302469135802467)"
1oew3nFNY3vMacJAsvry0S,Me And My Broken Heart,2013,Rixton,-0.013271604938271607,0.5302469135802467,"Sentiment(polarity=-0.013271604938271607, subjectivity=0.5302469135802467)"
1oew3nFNY3vMacJAsvry0S,Me And My Broken Heart,2014,Rixton,-0.013271604938271607,0.5302469135802467,"Sentiment(polarity=-0.013271604938271607, subjectivity=0.5302469135802467)"
1oew3nFNY3vMacJAsvry0S,Me And My Broken Heart,2015,Rixton,-0.013271604938271607,0.5302469135802467,"Sentiment(polarity=-0.013271604938271607, subjectivity=0.5302469135802467)"
1oew3nFNY3vMacJAsvry0S,Me And My Broken Heart,2014,Rixton,-0.013271604938271607,0.5302469135802467,"Sentiment(polarity=-0.013271604938271607, subjectivity=0.5302469135802467)"
6UTvWwqubEcGwkK8dj8Ycn,Not Gonna Get It,2020,Viki Gabor,-0.01333333333333333,0.6866666666666668,"Sentiment(polarity=-0.01333333333333333, subjectivity=0.6866666666666668)"
52qTK7CEx1Vso4Evkx6ZCM,In The Dark,2020,Purple Disco Machine,-0.013605442176870758,0.4879062736205594,"Sentiment(polarity=-0.013605442176870758, subjectivity=0.4879062736205594)"
4zLBcDtvYNVtF9fnG6lme3,Sun Goes Down (feat. Jasmine Thompson) - Radio Mix,2014,Robin Schulz,-0.013680637544273894,0.452577725304998,"Sentiment(polarity=-0.013680637544273894, subjectivity=0.452577725304998)"
2i0AUcEnsDm3dsqLrFWUCq,Tonight Tonight,2010,Hot Chelle Rae,-0.013888888888888902,0.6327160493827161,"Sentiment(polarity=-0.013888888888888902, subjectivity=0.6327160493827161)"
2i0AUcEnsDm3dsqLrFWUCq,Tonight Tonight,2011,Hot Chelle Rae,-0.013888888888888902,0.6327160493827161,"Sentiment(polarity=-0.013888888888888902, subjectivity=0.6327160493827161)"
2i0AUcEnsDm3dsqLrFWUCq,Tonight Tonight,2010,Hot Chelle Rae,-0.013888888888888902,0.6327160493827161,"Sentiment(polarity=-0.013888888888888902, subjectivity=0.6327160493827161)"
2i0AUcEnsDm3dsqLrFWUCq,Tonight Tonight,2011,Hot Chelle Rae,-0.013888888888888902,0.6327160493827161,"Sentiment(polarity=-0.013888888888888902, subjectivity=0.6327160493827161)"
3BHR1mJOqn2UZyq98YKPgd,Typa Girl,2017,BLACKPINK,-0.013958333333333333,0.4810416666666666,"Sentiment(polarity=-0.013958333333333333, subjectivity=0.4810416666666666)"
3VwRxqjO4kvpaiBefwzZ1S,Ashewo Boy,2022,Ayox,-0.014136904761904774,0.4827380952380952,"Sentiment(polarity=-0.014136904761904774, subjectivity=0.4827380952380952)"
